Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2/8/2023,United States,2020,1,1/4/2020,60176.00,55009.00,843.00,11569.00,1829.00,2537.00,1559.00,3501.00,1068.00,1094.00,630.00,14202.00,3110.00,0.00,0.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,2,1/11/2020,60744.00,55760.00,861.00,11963.00,1942.00,2566.00,1528.00,3709.00,1035.00,1092.00,649.00,13913.00,3189.00,1.00,1.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,3,1/18/2020,59363.00,54516.00,829.00,11701.00,1819.00,2491.00,1484.00,3526.00,992.00,1121.00,612.00,13593.00,3256.00,2.00,1.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,4,1/25/2020,59162.00,54401.00,828.00,11879.00,1864.00,2517.00,1488.00,3403.00,979.00,1107.00,638.00,13612.00,3185.00,3.00,2.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,5,2/1/2020,58834.00,54001.00,811.00,11963.00,1828.00,2480.00,1411.00,3313.00,981.00,1074.00,616.00,13465.00,3084.00,0.00,0.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,6,2/8/2020,59482.00,54411.00,806.00,11704.00,1957.00,2515.00,1463.00,3413.00,975.00,1135.00,600.00,14001.00,3056.00,4.00,3.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,7,2/15/2020,58815.00,53969.00,792.00,11807.00,1848.00,2537.00,1515.00,3477.00,979.00,1070.00,613.00,13641.00,3089.00,6.00,2.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,8,2/22/2020,58921.00,53992.00,779.00,11780.00,1880.00,2515.00,1462.00,3454.00,968.00,1059.00,608.00,13636.00,3083.00,6.00,6.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,9,2/29/2020,59334.00,54316.00,814.00,11790.00,1831.00,2519.00,1508.00,3460.00,1011.00,1092.00,676.00,13714.00,3126.00,9.00,9.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,10,3/7/2020,59694.00,54386.00,811.00,11712.00,1867.00,2511.00,1608.00,3470.00,1002.00,1071.00,654.00,13684.00,3097.00,38.00,34.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,11,3/14/2020,58694.00,53544.00,756.00,11568.00,1744.00,2445.00,1641.00,3391.00,993.00,1078.00,643.00,13446.00,3165.00,60.00,55.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,12,3/21/2020,59219.00,54301.00,840.00,11732.00,1830.00,2514.00,1740.00,3384.00,1021.00,1105.00,617.00,13203.00,3066.00,588.00,550.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,13,3/28/2020,63026.00,58238.00,846.00,11782.00,2044.00,2749.00,1783.00,3519.00,1064.00,1024.00,629.00,13710.00,3067.00,3226.00,3043.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,14,4/4/2020,72295.00,67446.00,948.00,11592.00,2298.00,2871.00,1849.00,3538.00,1027.00,1038.00,690.00,14945.00,3165.00,10141.00,9638.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,15,4/11/2020,79095.00,74003.00,833.00,11549.00,2354.00,2963.00,1613.00,3441.00,1017.00,1120.00,664.00,15761.00,3191.00,16347.00,15528.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,16,4/18/2020,76809.00,71895.00,745.00,11210.00,2270.00,2899.00,1232.00,3195.00,916.00,1098.00,668.00,14570.00,3204.00,17221.00,16305.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,17,4/25/2020,73928.00,68750.00,735.00,11367.00,2085.00,2804.00,1138.00,2994.00,887.00,987.00,675.00,13864.00,3058.00,15557.00,14659.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,18,5/2/2020,69303.00,63930.00,739.00,11097.00,1935.00,2727.00,1009.00,2928.00,851.00,961.00,548.00,13003.00,3042.00,13223.00,12437.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,19,5/9/2020,66814.00,61173.00,720.00,11014.00,1972.00,2498.00,864.00,2808.00,855.00,938.00,587.00,13170.00,2849.00,11243.00,10463.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,20,5/16/2020,64479.00,58978.00,679.00,11269.00,1969.00,2432.00,857.00,2770.00,787.00,976.00,563.00,12735.00,2958.00,9239.00,8497.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,21,5/23/2020,61642.00,56014.00,713.00,11116.00,1834.00,2417.00,804.00,2675.00,743.00,917.00,569.00,12796.00,2827.00,7249.00,6593.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,22,5/30/2020,59682.00,53987.00,654.00,10903.00,1813.00,2261.00,751.00,2634.00,759.00,893.00,576.00,12448.00,2851.00,6176.00,5596.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,23,6/6/2020,58920.00,52936.00,729.00,11083.00,1727.00,2302.00,701.00,2564.00,779.00,904.00,556.00,12471.00,2791.00,5060.00,4519.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,24,6/13/2020,58034.00,52274.00,693.00,11130.00,1741.00,2326.00,700.00,2502.00,737.00,923.00,587.00,12413.00,2838.00,4233.00,3730.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,25,6/20/2020,57999.00,52211.00,685.00,11157.00,1792.00,2362.00,756.00,2563.00,761.00,933.00,611.00,12412.00,2923.00,3852.00,3347.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,26,6/27/2020,58510.00,52643.00,719.00,11356.00,1766.00,2288.00,722.00,2539.00,775.00,952.00,575.00,12515.00,2959.00,3846.00,3333.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,27,7/4/2020,59825.00,53803.00,682.00,11298.00,1933.00,2362.00,658.00,2623.00,780.00,985.00,591.00,12869.00,2832.00,4557.00,4050.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,28,7/11/2020,61962.00,55858.00,764.00,11333.00,1954.00,2472.00,739.00,2615.00,751.00,915.00,668.00,13042.00,2921.00,5786.00,5236.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,29,7/18/2020,63177.00,57140.00,708.00,11373.00,1887.00,2501.00,767.00,2647.00,712.00,984.00,666.00,12868.00,2982.00,7198.00,6530.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,30,7/25/2020,64249.00,58386.00,683.00,11553.00,1957.00,2510.00,781.00,2559.00,730.00,969.00,672.00,12933.00,2913.00,8250.00,7521.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,31,8/1/2020,64235.00,58275.00,689.00,11514.00,1989.00,2502.00,760.00,2737.00,779.00,961.00,624.00,12834.00,2989.00,8308.00,7613.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,32,8/8/2020,63740.00,57835.00,785.00,11531.00,1797.00,2434.00,782.00,2595.00,730.00,909.00,672.00,12825.00,3036.00,7870.00,7182.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,33,8/15/2020,63644.00,57747.00,736.00,11703.00,1895.00,2527.00,754.00,2656.00,798.00,969.00,637.00,12843.00,2946.00,7270.00,6563.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,34,8/22/2020,62562.00,56595.00,735.00,11517.00,1935.00,2566.00,697.00,2642.00,783.00,967.00,624.00,12769.00,2930.00,6389.00,5748.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,35,8/29/2020,61104.00,55332.00,726.00,11576.00,1883.00,2430.00,678.00,2559.00,745.00,983.00,609.00,12476.00,2994.00,5755.00,5153.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,36,9/5/2020,60247.00,54238.00,701.00,11376.00,1837.00,2506.00,733.00,2552.00,801.00,929.00,568.00,12513.00,2862.00,5021.00,4434.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,37,9/12/2020,59678.00,53952.00,697.00,11468.00,1899.00,2330.00,681.00,2560.00,748.00,928.00,608.00,12360.00,3046.00,4628.00,4078.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,38,9/19/2020,59740.00,54127.00,744.00,11630.00,1861.00,2373.00,716.00,2518.00,778.00,921.00,624.00,12692.00,2948.00,4280.00,3764.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,39,9/26/2020,60613.00,55059.00,764.00,11863.00,1843.00,2499.00,724.00,2672.00,786.00,923.00,588.00,12710.00,3077.00,4305.00,3797.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,40,10/3/2020,59802.00,54099.00,718.00,11424.00,1895.00,2413.00,763.00,2578.00,719.00,944.00,646.00,12651.00,2886.00,4246.00,3699.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,41,10/10/2020,61799.00,55948.00,757.00,11830.00,1896.00,2515.00,726.00,2615.00,798.00,958.00,621.00,12819.00,3123.00,4823.00,4279.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,42,10/17/2020,60643.00,55200.00,776.00,11320.00,1844.00,2538.00,724.00,2598.00,815.00,1023.00,600.00,12580.00,3039.00,5204.00,4592.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,43,10/24/2020,62189.00,56847.00,728.00,11677.00,1835.00,2572.00,766.00,2698.00,796.00,944.00,604.00,12870.00,3078.00,6000.00,5330.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,44,10/31/2020,63425.00,58053.00,699.00,11528.00,1937.00,2460.00,793.00,2569.00,833.00,921.00,579.00,13154.00,3104.00,7031.00,6260.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,45,11/7/2020,67612.00,61757.00,765.00,11808.00,1961.00,2664.00,801.00,2897.00,814.00,1028.00,674.00,13686.00,3159.00,8766.00,7847.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,46,11/14/2020,68823.00,63215.00,795.00,11745.00,2025.00,2737.00,847.00,2753.00,858.00,1022.00,593.00,13467.00,3175.00,10654.00,9581.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,47,11/21/2020,71676.00,66245.00,819.00,11633.00,2117.00,2656.00,831.00,2815.00,857.00,1032.00,686.00,13644.00,3215.00,13365.00,12074.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,48,11/28/2020,73305.00,67907.00,773.00,11395.00,2156.00,2774.00,810.00,2755.00,861.00,1043.00,687.00,13560.00,3127.00,15628.00,14135.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,49,12/5/2020,77429.00,71976.00,844.00,11358.00,2214.00,2843.00,916.00,2835.00,903.00,1035.00,702.00,14303.00,3313.00,18578.00,16861.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,50,12/12/2020,82025.00,76440.00,836.00,11904.00,2303.00,2934.00,953.00,3033.00,969.00,1086.00,724.00,14583.00,3479.00,20941.00,19080.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,51,12/19/2020,82938.00,77523.00,840.00,11781.00,2356.00,3060.00,948.00,2948.00,920.00,1020.00,713.00,14757.00,3468.00,22342.00,20437.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,52,12/26/2020,84371.00,78718.00,858.00,11694.00,2330.00,2982.00,978.00,2861.00,922.00,1124.00,771.00,14842.00,3385.00,23399.00,21376.00,,,,,,,,,,,,,,,
2/8/2023,United States,2020,53,1/2/2021,87033.00,81119.00,894.00,11694.00,2448.00,3075.00,1011.00,3060.00,904.00,1111.00,712.00,15230.00,3509.00,24892.00,22760.00,,,,,,,,,,,,,,,
2/8/2023,United States,2021,1,1/9/2021,87074.00,81201.00,854.00,11340.00,2377.00,2946.00,1025.00,2956.00,936.00,1160.00,658.00,15103.00,3372.00,26027.00,23954.00,,,,,,,,,,,,,,,
2/8/2023,United States,2021,2,1/16/2021,87415.00,81622.00,828.00,11852.00,2473.00,2996.00,998.00,2939.00,963.00,1224.00,679.00,15012.00,3535.00,25738.00,23526.00,,,,,,,,,,,,,,,
2/8/2023,United States,2021,3,1/23/2021,83703.00,78116.00,839.00,11582.00,2217.00,2931.00,924.00,2816.00,899.00,1188.00,658.00,14626.00,3451.00,23730.00,21685.00,,,,,,,,,,,,,,,
2/8/2023,United States,2021,4,1/30/2021,79202.00,73653.00,783.00,11694.00,2183.00,2650.00,903.00,2783.00,954.00,1165.00,618.00,14306.00,3295.00,20362.00,18441.00,,,,,,,,,,,,,,,
